"grupa";"słowo"
"N1";"choroba"
"N1";"przemoc"
"N1";"śmierć"
"N1";"zagrożenie"
"N1";"zakażenie"
"N1";"zniewolenie"
"N1";"cierpienie"
"N1";"bezradność"
"N1";"panika"
"N1";"frustracja"
"N1";"załamanie"
"N1";"przerażenie"
;
"grupa";"słowo"
"P1";"oczyszczenie"
"P1";"odzyskanie"
"P1";"uratowanie"
"P1";"uwolnienie"
"P1";"wypoczynek"
"P1";"wyzdrowienie"
"P1";"odprężenie"
"P1";"ukojenie"
"P1";"ulga"
"P1";"uspokojenie"
"P1";"wyzwolenie"
"P1";"zrelaksowanie"
;
"grupa";"słowo"
"N2";"wymiociny"
"N2";"fetor "
"N2";"smród"
"N2";"zgnilizna"
"N2";"rozkład"
"N2";"obrzydliwość"
"N2";"gorycz"
"N2";"awersja"
"N2";"paskudztwo"
"N2";"obrzydzenie"
"N2";"odraza"
"N2";"wstręt"
;
"grupa";"słowo"
"P2";"czułość"
"P2";"frajda"
"P2";"namiętność"
"P2";"śmiech"
"P2";"wakacje"
"P2";"zabawa"
"P2";"ekscytacja"
"P2";"podniecenie"
"P2";"pożądanie"
"P2";"rozbawienie"
"P2";"rozkosz"
"P2";"zauroczenie"
;
